"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Region"	"Region Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Incidence Counts
	"Breast"	"26000"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.237	76	336
	"Breast"	"26000"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.187	62	334
	"Breast"	"26000"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.247	98	412
	"Breast"	"26000"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.295	64	230
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.209	26	142
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.158	40	311
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.209	69	397
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.127	103	872
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.162	61	417
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.155	107	789
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.158	474	3084
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.288	1011	3610
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.307	1077	3592
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.299	3163	10886
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.264	444	1722
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.201	7884	35987
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.203	8692	40250
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.195	11463	56575
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.192	6993	35547
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	324
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	324
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	350
	"Breast"	"26000"	"2003"	"2003"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	211
	"Breast"	"26000"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.224	29	118
	"Breast"	"26000"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.281	83	306
	"Breast"	"26000"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.270	81	312
	"Breast"	"26000"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.215	105	511
	"Breast"	"26000"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.222	56	258
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.212	23	141
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.223	61	302
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.203	78	423
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.145	124	954
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.209	76	420
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.143	104	812
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.147	482	3358
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.262	956	3738
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.299	1082	3690
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.280	3036	11116
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.264	467	1825
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.192	7629	36569
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.195	8385	40253
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.196	11501	56411
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.192	6943	35333
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	213
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	284
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	358
	"Breast"	"26000"	"2004"	"2004"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	221
	"Breast"	"26000"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.321	31	113
	"Breast"	"26000"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.256	82	332
	"Breast"	"26000"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.195	62	340
	"Breast"	"26000"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.231	114	509
	"Breast"	"26000"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.173	43	257
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.267	28	137
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.190	50	303
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.222	78	419
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.135	128	1038
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.137	53	435
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.130	102	865
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.152	513	3492
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.273	1023	3820
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.284	1083	3872
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.290	3207	11257
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.278	489	1822
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.187	7373	36278
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.194	8477	40927
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.194	11642	57372
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.185	6860	36337
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	205
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	290
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	412
	"Breast"	"26000"	"2005"	"2005"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	301
	"Breast"	"26000"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.319	31	105
	"Breast"	"26000"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.238	74	323
	"Breast"	"26000"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.255	77	317
	"Breast"	"26000"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.211	99	472
	"Breast"	"26000"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.215	61	281
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.199	30	168
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.138	43	339
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.206	78	416
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.124	127	1142
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.117	53	499
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.148	124	927
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.153	525	3517
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.258	997	3953
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.271	1081	4063
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.276	3172	11858
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.241	444	1897
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.181	7274	36921
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.191	8448	41435
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.185	11396	58948
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.186	7019	36775
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	227
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	318
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	427
	"Breast"	"26000"	"2006"	"2006"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	299
	"Breast"	"26000"	"2006"	"2006"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.257	35	117
	"Breast"	"26000"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.210	67	320
	"Breast"	"26000"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.232	74	330
	"Breast"	"26000"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.283	128	467
	"Breast"	"26000"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.226	58	268
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.216	30	174
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.143	58	396
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.169	72	492
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.130	129	1135
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.107	50	541
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.117	108	1022
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.133	500	3832
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.238	968	4145
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.282	1078	3916
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.261	3262	12798
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.245	490	2064
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.174	7097	37244
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.184	8335	42133
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.180	11472	61044
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.177	6941	38158
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	235
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	414
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	503
	"Breast"	"26000"	"2007"	"2007"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	337
	"Breast"	"26000"	"2007"	"2007"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.311	32	115
	"Breast"	"26000"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.218	74	343
	"Breast"	"26000"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.235	75	337
	"Breast"	"26000"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.205	106	553
	"Breast"	"26000"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.228	60	275
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.236	31	161
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.153	55	364
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.170	73	479
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.112	121	1212
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.149	73	572
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.137	140	1155
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.128	529	4168
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.231	993	4348
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.272	1105	4122
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.257	3262	13135
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.243	491	2079
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.167	7045	38457
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.184	8401	42734
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.174	11348	62219
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.169	6911	39569
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	247
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	363
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	520
	"Breast"	"26000"	"2008"	"2008"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	314
	"Breast"	"26000"	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.316	17	49
	"Breast"	"26000"	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.381	49	150
	"Breast"	"26000"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.249	79	326
	"Breast"	"26000"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.212	73	357
	"Breast"	"26000"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.253	142	566
	"Breast"	"26000"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.178	56	328
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.223	31	161
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.148	46	368
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.200	92	497
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.108	121	1242
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.117	65	627
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.126	132	1171
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.133	555	4185
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.244	1055	4430
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.234	1007	4376
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.243	3275	13840
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.250	513	2108
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.163	6999	39032
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.174	8175	43796
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.171	11456	64058
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.171	7150	40643
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	268
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	381
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	561
	"Breast"	"26000"	"2009"	"2009"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	263
	"Breast"	"26000"	"2009"	"2009"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.295	36	139
	"Breast"	"26000"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.216	70	328
	"Breast"	"26000"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.241	88	363
	"Breast"	"26000"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"South"	"CENS-R3"	0.236	130	568
	"Breast"	"26000"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	"West"	"CENS-R4"	0.178	54	307
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"Midwest"	"CENS-R2"	0.142	25	182
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"South"	"CENS-R3"	0.194	61	354
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"West"	"CENS-R4"	0.142	75	564
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Northeast"	"CENS-R1"	0.109	140	1462
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Midwest"	"CENS-R2"	0.120	71	665
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"South"	"CENS-R3"	0.104	119	1252
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"West"	"CENS-R4"	0.144	631	4444
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.230	1008	4426
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	"Midwest"	"CENS-R2"	0.257	1089	4326
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.249	3420	14065
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	"West"	"CENS-R4"	0.245	514	2129
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.165	6879	37603
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"Midwest"	"CENS-R2"	0.178	8205	42770
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"South"	"CENS-R3"	0.175	11669	63518
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	"West"	"CENS-R4"	0.172	7081	39612
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Northeast"	"CENS-R1"	Not Applicable	0	239
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"Midwest"	"CENS-R2"	Not Applicable	0	376
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"South"	"CENS-R3"	Not Applicable	0	514
	"Breast"	"26000"	"2010"	"2010"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	"West"	"CENS-R4"	Not Applicable	0	317
	"Breast"	"26000"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	"Northeast"	"CENS-R1"	0.468	21	48
	"Breast"	"26000"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	"South"	"CENS-R3"	0.282	39	152
	"Breast"	"26000"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	"Northeast"	"CENS-R1"	0.208	75	369
